PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
0.880550999,-1.454427488,-1.646726331,-0.260663008,-0.838942362,-0.662586999,-0.019795025,-1.172375441,-0.132012738,-0.321040095,-0.199313917,-0.127373412,-0.100679523
1.764340774,-1.580177823,-2.663925069,-0.838766571,-1.227891337,1.253977311,0.638718587,0.60672096,-0.178654558,0.418981928,-0.485488849,0.177905969,-0.3617953
0.480567051,-1.540844503,-2.579940084,-1.697194764,-0.295993562,1.558373311,1.391180568,-0.271461887,-0.129408685,0.397359602,0.25452632,-0.468232684,0.326791722
2.849299781,-2.643464497,1.911774371,0.752133453,-0.835036134,0.72976853,-1.010538615,-0.197926657,-0.16822058,-0.39485801,-0.139740593,-0.145690345,-0.769138702
-1.292080846,-1.521435111,-1.322700534,-1.733239566,0.561347088,-0.272956071,-0.450611056,-1.370143996,0.074482606,0.13535613,-0.13511227,0.077189798,-0.271075939
1.242325408,-1.593619446,-2.861628409,-1.065510711,-1.226137297,1.241259137,0.041072718,0.923335173,-0.317999631,0.380389784,-0.468730329,0.172499272,-0.287155336
3.677000129,-2.400137723,0.539141049,0.239910121,0.436014652,-0.37607413,-0.164503112,-0.781767525,0.037501166,-0.095269928,-0.062606462,-0.269843053,0.142097573
3.822838523,-2.381583198,0.465962382,0.372097069,0.22705374,-0.438849933,-0.306463016,-0.626413551,0.032677335,-0.09145644,-0.250582217,-0.110574011,-0.036830107
3.618081337,-2.509336406,0.536359836,0.187907714,0.347008988,-0.43779597,-0.96575277,-0.181137605,-0.070123292,-0.148596588,-0.534906672,0.15831235,-0.286590384
3.618081337,-2.509336406,0.536359836,0.187907714,0.347008988,-0.43779597,-0.96575277,-0.181137605,-0.070123292,-0.148596588,-0.534906672,0.15831235,-0.286590384
2.503677189,-2.860718811,2.010701071,0.467758901,-0.47370909,0.810894251,-1.342504052,-0.075194685,-0.210720551,-0.461998467,0.012796984,-0.410820083,-0.473968996
3.281921026,-2.630938015,0.663223581,-0.101516214,0.718595014,-0.353004209,-1.299462498,-0.055818186,-0.174996236,-0.191386226,-0.294233971,-0.02515333,-0.016411609
3.282134129,-2.630820124,0.663164802,-0.101340643,0.718416428,-0.353026953,-1.298908851,-0.056147845,-0.174869716,-0.191341502,-0.294286843,-0.025132085,-0.016509253
3.153680382,-2.338449435,1.917699801,0.971774829,-0.791285623,0.865145889,1.710112218,-2.078283694,0.414548521,-0.255421313,0.249004836,-0.72499928,-0.478251651
3.019059597,-2.72580937,1.141825131,0.191093243,0.20957759,0.307257455,-1.388737455,-0.363021884,-0.201693342,-0.263116359,-0.544038575,0.476008228,0.602502916
0.52119999,-1.729500702,-1.208003929,-0.459710644,-1.656476066,-0.089693827,-1.508219156,-0.671066941,-0.305410883,-0.133614419,-0.327572027,0.346726559,0.704797465
-1.157397276,-1.340616409,-1.890699805,2.68832508,0.246506063,0.045136407,-1.008595725,-0.44659445,-0.11467698,-0.398703433,-0.270207216,0.374976465,0.724183997
3.656135054,-2.382797101,0.510306182,0.09767532,0.318907222,-0.388394431,-0.18666431,-0.812229496,0.083719189,0.011684508,-0.040309163,-0.278312873,0.145186751
0.794475807,-1.367027822,-1.875587295,-0.170829323,-1.042934744,-0.71393023,-0.05534298,-1.165015693,-0.179500587,-0.3220376,-0.021749722,-0.283405472,0.095406023
1.580748446,-2.604502419,1.442139121,0.251140283,-0.635983168,0.788928565,-1.162808463,-0.335404344,-0.26749639,-0.539285107,0.201857061,-0.574815134,-0.306422627
3.168524746,-2.704608008,1.06798582,0.326144153,-0.001528375,0.244581291,-1.515905295,-0.21720575,-0.203421593,-0.258265498,-0.731349277,0.634146789,0.423069158
1.278334859,-2.330814211,0.725077875,0.518655999,-1.368868345,0.58602285,-1.399541992,-0.13094662,-0.376632686,-0.60947987,0.098756601,-0.482248891,-0.395849591
-1.733774307,-1.511108226,-0.530822619,1.377285875,-0.615190865,0.691161165,-0.981692095,-0.650134581,0.335507212,0.470426833,0.676127465,-0.65678652,-0.187626807
0.917515825,0.016250915,-2.410313446,-1.579429256,-0.560026701,1.578982346,1.054412362,0.150671995,-0.083821875,0.221871862,1.090906627,0.381350725,0.142665783
4.093232278,-1.491159312,0.583525888,0.372730927,0.064014229,-0.384699524,-0.281581863,-0.448075402,0.641402562,-0.445034325,-0.395996096,0.473696841,-0.473104373
1.360693316,0.126961593,-2.782678912,-1.087233291,-1.352097941,1.349800243,0.584873025,0.635866021,-0.13421437,0.249411035,0.69898667,0.704991128,-0.198758256
3.048987599,-1.562847981,-0.22497968,0.840889272,2.12529261,2.030649164,0.955651331,0.723095141,1.268381372,1.222667047,0.814228005,-0.373723923,0.639888062
2.582664359,-1.36377133,2.41545025,0.223682117,-0.206618449,0.988404595,-1.326857958,-0.007341688,-0.114685046,-0.656987802,1.042211682,0.278669432,-0.506241714
4.325951828,-0.730073122,-0.040570359,-0.335817492,0.938534516,1.938959428,2.775807106,-0.482636664,0.352546637,0.223818143,1.016390271,0.334221026,0.062104257
2.719459465,-0.272810694,-0.818256403,-0.296939812,0.308352531,-1.087229914,-0.125845724,-0.4353972,0.024580747,-0.382465238,1.035695506,0.076479432,-0.716074439
